employee_id,first_name,last_name,branch_id,position,salary
1,Ivan,Lysenko,2,Manager,55050
2,Maria,Petrenko,3,Analyst,45100
3,Andriy,Moroz,4,Teller,35150
4,Natalia,Savchenko,5,Manager,55200
5,Dmytro,Boyko,6,Analyst,45250
6,Yulia,Kovalchuk,7,Teller,35300
7,Oleksiy,Rudenko,8,Manager,55350
8,Iryna,Zinchenko,9,Analyst,45400
9,Mykola,Sydorenko,10,Teller,35450
10,Tetyana,Mel'nyk,11,Manager,55500
11,Vasyl,Ponomarenko,12,Analyst,45550
12,Oksana,Hrytsenko,13,Teller,35600
13,Serhiy,Pavlenko,14,Manager,55650
14,Larysa,Karpenko,15,Analyst,45700
15,Bohdan,Kharchenko,16,Teller,35750
16,Halyna,Volkov,17,Manager,55800
17,Taras,Goncharenko,18,Analyst,45850
18,Svitlana,Moskalenko,19,Teller,35900
19,Roman,Tymoshenko,20,Manager,55950
20,Anna,Yakovenko,21,Analyst,46000
21,Viktor,Fedorenko,22,Teller,36050
22,Liudmyla,Ivanova,23,Manager,56100
23,Maksym,Nazar,24,Analyst,46150
24,Darya,Oliynyk,25,Teller,36200
25,Pavlo,Kovalenko,26,Manager,56250
26,Kateryna,Shevchenko,27,Analyst,46300
27,Artem,Bondarenko,28,Teller,36350
28,Olha,Kravchenko,29,Manager,56400
29,Yuriy,Tkachenko,30,Analyst,46450
30,Olena,Marchenko,31,Teller,36500
31,Ivan,Lysenko,32,Manager,56550
32,Maria,Petrenko,33,Analyst,46600
33,Andriy,Moroz,34,Teller,36650
34,Natalia,Savchenko,35,Manager,56700
35,Dmytro,Boyko,36,Analyst,46750
36,Yulia,Kovalchuk,37,Teller,36800
37,Oleksiy,Rudenko,38,Manager,56850
38,Iryna,Zinchenko,39,Analyst,46900
39,Mykola,Sydorenko,40,Teller,36950
40,Tetyana,Mel'nyk,41,Manager,57000
41,Vasyl,Ponomarenko,42,Analyst,47050
42,Oksana,Hrytsenko,43,Teller,37100
43,Serhiy,Pavlenko,44,Manager,57150
44,Larysa,Karpenko,45,Analyst,47200
45,Bohdan,Kharchenko,46,Teller,37250
46,Halyna,Volkov,47,Manager,57300
47,Taras,Goncharenko,48,Analyst,47350
48,Svitlana,Moskalenko,49,Teller,37400
49,Roman,Tymoshenko,50,Manager,57450
50,Anna,Yakovenko,1,Analyst,47500
51,Viktor,Fedorenko,2,Teller,37550
52,Liudmyla,Ivanova,3,Manager,57600
53,Maksym,Nazar,4,Analyst,47650
54,Darya,Oliynyk,5,Teller,37700
55,Pavlo,Kovalenko,6,Manager,57750
56,Kateryna,Shevchenko,7,Analyst,47800
57,Artem,Bondarenko,8,Teller,37850
58,Olha,Kravchenko,9,Manager,57900
59,Yuriy,Tkachenko,10,Analyst,47950
60,Olena,Marchenko,11,Teller,38000
61,Ivan,Lysenko,12,Manager,58050
62,Maria,Petrenko,13,Analyst,48100
63,Andriy,Moroz,14,Teller,38150
64,Natalia,Savchenko,15,Manager,58200
65,Dmytro,Boyko,16,Analyst,48250
66,Yulia,Kovalchuk,17,Teller,38300
67,Oleksiy,Rudenko,18,Manager,58350
68,Iryna,Zinchenko,19,Analyst,48400
69,Mykola,Sydorenko,20,Teller,38450
70,Tetyana,Mel'nyk,21,Manager,58500
71,Vasyl,Ponomarenko,22,Analyst,48550
72,Oksana,Hrytsenko,23,Teller,38600
73,Serhiy,Pavlenko,24,Manager,58650
74,Larysa,Karpenko,25,Analyst,48700
75,Bohdan,Kharchenko,26,Teller,38750
76,Halyna,Volkov,27,Manager,58800
77,Taras,Goncharenko,28,Analyst,48850
78,Svitlana,Moskalenko,29,Teller,38900
79,Roman,Tymoshenko,30,Manager,58950
80,Anna,Yakovenko,31,Analyst,49000
81,Viktor,Fedorenko,32,Teller,39050
82,Liudmyla,Ivanova,33,Manager,59100
83,Maksym,Nazar,34,Analyst,49150
84,Darya,Oliynyk,35,Teller,39200
85,Pavlo,Kovalenko,36,Manager,59250
86,Kateryna,Shevchenko,37,Analyst,49300
87,Artem,Bondarenko,38,Teller,39350
88,Olha,Kravchenko,39,Manager,59400
